transaction_id,customer_name,email,country,category,amount,quantity,date,payment_method,rating
TXN-0001,Justin Baker,zhurst@example.com,France,Food,3475.45,2,2024-09-24,Debit Card,5
TXN-0002,Brenda Snyder PhD,hernandezernest@example.net,USA,Toys,4357.95,12,2025-02-28,Cash,4
TXN-0003,Janice Carlson,jrice@example.org,UK,Clothing,614.83,7,2025-09-17,Credit Card,1
TXN-0004,Melanie Herrera,kayla51@example.com,USA,Food,2138.4,13,2025-03-10,Credit Card,3
TXN-0005,Aaron Bowen,teresa28@example.org,UK,Electronics,2426.73,1,2026-02-12,PayPal,2
TXN-0006,Sarah Romero,ericfarmer@example.net,Germany,Food,1619.4,9,2025-12-02,Cash,1
TXN-0007,Tamara George,xsmith@example.com,USA,Clothing,4812.42,7,2024-10-09,Debit Card,3
TXN-0008,Shawn Arroyo,dennislisa@example.net,USA,Toys,1427.78,17,2025-11-22,PayPal,1
TXN-0009,Matthew Arroyo,josephbrennan@example.com,Canada,Clothing,2058.13,5,2024-09-18,Credit Card,1
TXN-0010,Nicole Vaughn,raymond57@example.net,UK,Clothing,2657.02,6,2025-03-23,Cash,3
TXN-0011,Danny Morgan,briannasmith@example.net,UK,Electronics,3642.44,5,2025-08-10,Cash,2
TXN-0012,Austin Johnson,chad34@example.net,UK,Electronics,757.83,6,2025-04-19,Wire Transfer,3
TXN-0013,Carlos Walls,esanchez@example.com,Germany,Books,3389.43,19,2024-09-01,Debit Card,3
TXN-0014,Matthew Gomez,uowens@example.org,UK,Books,3227.64,9,2025-09-12,Credit Card,2
TXN-0015,Maria Brown,lauren13@example.org,USA,Food,1708.63,18,2024-09-01,Debit Card,3
TXN-0016,Brenda White,ewright@example.com,Germany,Clothing,4910.93,17,2025-12-25,Debit Card,1
TXN-0017,Krista Williams,novaksara@example.org,Germany,Toys,4502.59,9,2024-08-14,Credit Card,3
TXN-0018,John Hancock,martinaaron@example.com,UK,Food,4282.34,1,2024-10-29,Cash,3
TXN-0019,Rachel Mitchell,smoore@example.org,USA,Books,4493.28,3,2024-05-22,Credit Card,3
TXN-0020,Kimberly Adkins,williamsthomas@example.net,USA,Toys,1423.19,14,2024-08-07,Debit Card,2
TXN-0021,Jordan York,larsonemma@example.org,UK,Toys,1125.23,1,2025-02-14,Cash,1
TXN-0022,Steve Sanchez,harveyrobert@example.net,France,Books,1835.51,8,2025-06-20,PayPal,1
TXN-0023,Taylor Harris,john62@example.net,USA,Books,2546.53,14,2025-08-21,Wire Transfer,3
TXN-0024,Eugene Walton,smithchristine@example.net,UK,Food,3975.08,1,2024-06-23,Cash,1
TXN-0025,Daniel Baker,nicole35@example.com,France,Books,3613.65,19,2024-08-07,Cash,3
TXN-0026,Joshua Turner,contrerasangela@example.net,USA,Electronics,4972.78,14,2024-06-26,Wire Transfer,3
TXN-0027,Brandy Wilson,newtoneric@example.com,Germany,Electronics,4765.59,17,2025-07-20,Wire Transfer,3
TXN-0028,Grant Watts,william40@example.org,Germany,Electronics,381.35,1,2025-08-12,PayPal,2
TXN-0029,Donald Smith,danagreen@example.net,USA,Clothing,4681.09,3,2025-03-16,Debit Card,2
TXN-0030,Jessica Smith,landryhannah@example.org,UK,Clothing,4387.48,17,2025-06-04,Credit Card,1
TXN-0031,Jacob Tran,tanderson@example.com,UK,Toys,1486.07,3,2026-03-06,Debit Card,1
TXN-0032,Valerie Williams,jason31@example.com,France,Books,2559.16,4,2025-12-03,Wire Transfer,4
